index,Review,category,sentiment_predicted
52,초반에 완벽했고 후반전부터는 아쉬웠지만 주제가 이 영화의 모든걸 말해주고있어요!천만축하겸 오랫만에 혼영했습니다.감독님!감사합니다!,story,1
53,재밌었어요^__^ 재관람 예정,story,1
54,베리베리굿!아주 재밋어요.,story,1
55,스토리 연기 연출 전부 최고!!,directing,1
56,연기자 모두 연기를 기가막히게 합니다,actor,1
57,두번째로 관람했음. 역시나 재밌고 시간 가는 줄 몰랐어요,story,1
58,개인적 취향이 아닌 장르여서 미루다가 봤는데 중간부 이후는... 정말 별루였네요,story,0
59,오컬트로 잘 시작해 갑자기 무엇인가 나타나며 그저그런 판타지가 되어버렸다.,story,0
60,"연출, 배우 연기 둘다 너무 좋았습니다. 다만 스토리가 전반부에서 후반부로 자연스럽게 연결되지않는것이 아쉬웠습니다. 그 외에는 너무 좋네요~",story,1
61,악령이랑 강시는 점 비현실적...,story,0
62,굿굿 단순히 무서운 오콜트가 아니라 역사를 담아내서 감동,story,1
63,"Kindof film of """"Monster""""",story,1
64,생각보다 안무서웠고 재밌었습니다,story,1
65,요즘 얼굴에 주인공 얼굴에 글씨 쓰는것이 유행인가? 쇠말뚝을 호랑이 허리에 그것을 지키는 정령까지 소재 매우 좋음,story,1
66,예상외의 내용으로 역사적인 문제도 다뤄서 재미있게 잘봤습니다,story,1
67,"초반부에 비해 후반부 긴장감이 약간 떨어졌지만, 배우들의 연기와 영화의 메세지가 좋았다.",story,1
68,공포영화는 못보는데 파묘는 생각보다 무서운 부분은 없었네요. 잼나게 잘 봤어요 ㅎㅎ,story,1
69,다좋았는데 오니가 좀....,story,1
70,기대이상입니다 정말 재미있게 봤습니다!!!,story,1
71,다들 연기를 잘해서 멍하니 보고 진짜 무당이 온 줄 알았던 영화 무서운 장면은 없지만 현실에 있을 것 같아 무서웠던 영화 안보신 분들에게 추천,directing,1
72,신선한 이야기 전개와 출연자들의 열연 재관람 의향 있음,actor,1
73,"긴장감 쩌는 사운드~, 내용은 전설의 고향 스럽고, 김고은이가 500만 땡겼네",story,0
74,진짜 흠짐없는 배우들만으로도 이 영화는 재미 보장임,story,1
75,"많은 인기를 얻는 영화라서 봤는데 ,, 재밌는건 맞지만 뭔가 좀 아쉬웠어요 .. 그리고 무섭다고들 했는데 하나도 안무서웠어요.. 그래도 재밌게 봤기에 강추 👍💕",story,1
76,팝콘 날린 사람 나야나 ~ 재미없단 관람후기도 주변에 더러 있었는데 무섭지만 재밌게 잘 봤음 몰입감 bb,story,1
77,기대했던 만큼은 아니었지만 볼만 했음요,story,1
78,너무 몰입감을 가질수 있었던 영화였음,story,1
79,김고은 연기보고 재밌게 봤습니다,actor,1
80,볼만했어요 배우분들 연기도 좋았고요,actor,1
81,김고은 최민식 연기로 몰입감있게 재밌게 봤어요,actor,1
82,김고은 배우연기가 인상적이였네요^^,actor,1
83,연기 잘하네요 재밌게 봤어요,actor,1
84,재밌게 잘 보았습니다!!!,story,1
85,영화가 시즌1-시즌2 느낌인데 시즌1은 너무 허무하고 시즌2는 너무 복잡하다,story,0
86,해외에서도 호평 일색이네요 국뽕이 차오릅니다 역사를 잊은 민족에게 미래는 없다,story,0
87,재료가 너무 질이 좋으니 맛이 없을수가 없지. 근데 더 맛있게도 만들수 있을것 같아 그부분이 좀 아쉽,story,1
88,무서웠어요 소름 쫙 몰입 최고,story,1
89,"신선함과 대중성, 그리고 디테일",story,1
90,친구가 보고 싶다고해서 예매해줬는데 재미있다고 하넹?ㄷ,story,0
91,후반부에 급격하게 달라지는 장르전환이 영 별로였다,story,0
92,시간가는 줄 모르고 봤습니다. 재밌고 생각이 많이 들었어요.,story,1
93,뭔가 스토리 연결이 매끄럽지 못했던 영화 음... 그냥 공포영화인듯,story,0
94,연기력 미쳤어요 내용도완전 좋고 넘 잘봣어요,actor,1
95,"군더더기없는 연출, 배우들의 연기 짱~ 보는내내 몰입감이 짱이네요~ 시간이 순삭 되는 영화~ 오컬트 영화 탑인듯 하네요~대박대박",actor,1
96,말해뭐합니까~^^ 역시는역시... 정말 재밌었고.. N차관람했습니다♡,story,1
97,재밌네요 잘봤습니다.,story,1
98,런닝타임이 지루하지 않았다.는건 재미있고 잘 만들었다는 뜻. 잘 봤습니다. 월 메이드 무비,story,1
99,"김고은 이도현 연기가 돋보이다. 최민식, 유해진이야 더 거론할 필요도 없는 자연스러움 그 자체이고. 감독에게 박수를! 넘 멋진 이야기의 시작. 사관이 맘에 들다.",story,1
100,짜임새있는 내용과 연기력 다 좋았다!,actor,1
101,파묘 재밌습니다~~~^^,story,1
102,역시 믿고보는 배우분들 그리고 보다보면 1 스토리와 2스토리가 있는데 앞에는 그럴만 하지만 뒤에는 엥? 하는 순간이 오는데 뭐 이걸 좀 감안하고 보니 재밌습니다,story,1
103,지루하지 않게 스릴넘치게 흘러가네요...,story,1
104,중간중간 갑툭튀 부분도 있고 저희 영화관이 오래되서 소리가 큰 장면이 나올때마다 의자가 울려서 정말 실감이 났어요,directing,1
105,구성과 스토리 색다르게 잘봤다 천만의 이유가 있다,story,1
106,재밌어요ㅜ재밌어요 재밌어요ㅜ,story,1
107,몰입감이 좋네요. 시간 가는줄 모르고 봤어요.,story,1
108,1000만 넘어서 봤는데 글쎄요~~~,story,0
109,배우들연기가 넘 좋아서 시간이 후딱지나갔어요~특히 김고은 신들린연기 최고였어요,actor,1
110,재밌기는 한데 이게 천만영화?? 까지는 아니라고 생각합니다.,story,0
111,마이너 장르 영화를 왜 천만관객 이상이 봤는지 알게 됐다. 주인공들 행동의 시간차 연결성과 숨가쁜 협심에 빨려 들어가듯 함께 동화되었다. 적나라하지 않게 표현된 귀신들의 모습과 음향효과가 공포감을 극대화시키지만 영화는 무서움보다는 통쾌함을 주며 끝난다. 롤러코스터를 탄 기분!,story,1
112,오묘하면서도 빠져들게 만드는 영화,story,1
113,가득차있는영화빈곳이없다,story,1
114,"무서운 영화 못 보는데 이건 전혀 안 무섭네ㅋ 역시 귀신도 인간 따라 간다! 쪽바리귀신은 이유없이 그냥 막 사람 죽이고, 우리귀신은 한 풀면 순하게 간다^^ㅋ 여우가 범의 허리를 끊는 사태가 일제강점기였다면 언제까지 그상태를 계속 가게할 것인가? 순결한 산하를 되찾는 그날은 과연???ㅠㅠ",story,0
115,"So, very tired.",story,1
116,초반 한 시간은 영화사에 길이 남을 오컬트였는데,story,0
117,킬링타임으론 아주 훌륭한,story,1
118,린쟈오밍 드립이 떠올라도 끊어지지 않았던 쫄깃함,story,1
119,아빠옆에서 무서운 얘기 듣고 온 기분.,story,1
120,배우들 수고하셨습니다.,actor,1
121,연기는 모두들 끝내주네요.,actor,1
122,중간이후에 도깨비?? 가 좀 어의가 읍지만 전체적으로 볼만했어요 추천!!,story,1
123,감독님 영화는 다 몇번씩은 본듯.. 이번은 연기력 보장되는 배우님들 너무 좋았어욤.,actor,1
124,그냥저냥 볼만~개취는 사바하~,story,0
125,살벌한 굿판에 신들린 배우들의 연기력! 천만 갈만하네요,actor,1
126,말모말모 들고았던 팝콘 다 날라가서 영호ㅓ끝나고 땅에 다 팝콘 신밧한영호ㅓ,story,0
127,"오컬트를 주제로 무속신앙과 일제시대의 역사를 잘 섞은 영화. 첩장 발견을 기점으로 2개의 영화를 보는 느낌인데, 후반부의 전개나 내용은 조금 아쉬웠다.",story,1
128,봉길이 이쁘다. 봉길이 애낀다. 봉길이 귀엽다.,story,0
129,재밌었어용 배우분들 연기가 훌륭하심,actor,1
130,"천만 관객이 넘었다는 기대감 때문이었을까요? 배우들의 연기는 좋았지만, 현실감이 많이 떨어진 듯... 아쉽네요",actor,0
131,왜 천만관객들이 봤는지 알것같음,story,0
132,일제의 치밀함에 분노를 느끼게 되는 영화,story,1
133,"조상의 묘를 이장하는데 민감한 사안에 대한 스토리 위주라 여기고 관람했는데, 일제강점기에 일본이 우리민족의 정기를 끊기위해 백두대간에 박은 정(쇠말뚝)이 나올 줄 몰랐다. 물론 어릴적 우연히 들어서 알고 있던 얘기, 영상이 전반은 현실, 후반은 환타지로 복합한 느낌, 연기는 탁월",actor,1
134,다들 연기 미쳤네요 연기를 너무 잘해서 몰입해서 봤어요,actor,1
135,귀신 잡는 해병대 출신입니다. 무서어 디질뻔 했습니다.,story,0
136,너무 스릴있고 긴장하며 봤더니 시간이 어떻게 가는지 모를만큼 훌륭한 영회였어요. 배우들 연기도 아주 쫀쫀하고 감독의 연출력이나 시나리오도 참 재미와 극적인 면 모두 잘 살린 영화라고 생각합니다. 나오는 주연과 조연 배우 모두 연기가 너무 훌륭합니다.,actor,1
137,천만 관객 돌파 축하 드립니다 배우들 연기도 좋았고 영화도 재밌게 잘 봤습니다 한국 영화 계속 흥하길~,actor,1
138,긴장감 최고네요 무섭구요,story,1
139,영화 끝나도 이 설렘이 가시질 않았어요 이번 영화 중 최고였어요,story,1
140,오 재밌게 봤어요! 배우들의 연기로 한층 더 몰입해서 봤는데 구웃-!이에유,actor,1
141,너무 재미있게봤어요~ 검은사제들을 재미있게 보셨다면 파묘도 즐겁게 보실듯~^^,story,1
142,재밌네~ 시간이 없어서 미루고 미루다가 겨우 봤습니다 재밌네요,story,1
143,연기자들의 연기와 스토리가 영화를 더 높여주었다!!,story,1
144,시간가는 줄 모르고 봤네요 몰입감 집중도 최고,story,1
145,내용은 유치한데 연기력은 좋았어요,actor,1
146,그런대로 볼만 했어요 뒷부분은 좀 아쉽긴 한데,story,1
147,재밌었어요 몰입하면서 볼수있고 관통하는 메세지도 좋았어요,story,1
148,주변에 하도 재밌다고 해서 가족들이랑 주말에 보러 갔는데 정말 시간 가는 줄 모르도 재밌었어요!!,story,1
149,배우들의 열연이 몰입감을 주네요,actor,1
150,또 봐도 잼있어요!! 내용이 좀 읭? 스러울때도 배우분들 연기가 너무 좋아서 장르물에선 나오기 힘든 관객을 동원하게 된거 아닌가 싶어요! 감독님이 만들고 싶었다던 힙한 무당을 만드는데는 성공하신거 같아요 ㅎㅎㅎㅎ,actor,1
151,"처음엔 다름아닌 이도현 배우의 스틸컷이 하도 강렬하여 꼭 봐야겠다고 생각하고, 아무런 사전 지식 없이 막차를 탔는데 안봤으면 어쩔뻔. 내용이며 연기며 말하면 입 아프고. 뉴스에서 좌파니 뭐니 말이 많길래 뭔가 했지. 역사 공부 열심히 하고, 나라 지켜낸 분들에게 감사하며 살자. 제발.",actor,0
152,흥미만 유발시키고 공포도 장르적 재미도 없으며 감독은 감정과 의미는 영화에 담으려하지만 나에게는 와닿지 않는다,story,0
153,음.... 하핫 1000만까지는 아닌것 같아요ㅠ 배우들 연기와 참신한 스토리는 좋았습니다,story,0
154,다시봐도 괜찮네요..의미도 한번더 생각해보고,story,1
155,쉼없는 전개에 집중해서 봤어요.공들인 장면 하나하나가좋았고 또한 배우들연기도 잘 어우러져 좋았어요.,actor,1
156,일본의 악의적인 잔재가 실제적으로도 저렇게 남아있을수도 있겠구나 생각하니 소름이 돋네요 ...,story,1
157,팔색조매력의김고은배우님!해가거듭될수록연기스펙트럼이다양해지는듯!,actor,1
158,전체적으로 잘 만들었네요 볼만합니다,story,1
159,배우님들 신들린듯한 연기가 대단했어요 조금 무서웠지만 잼나게 잘봤습니다,actor,1
160,난잡....노잼 ㅡㅡ,story,0
161,2회차에요 몰입감있고 친절하고 잘 만들어진 영화!!,story,1
162,21세기 판 전설의 고향,story,0
163,상징과 의미가 많습니다,story,1
164,잘만든영화고 지루할틈이 없네요 해피엔딩결말도 좋아요,story,1
165,개인적으로는 곡성이 좀 더 좋았지만 그래도 굉장히 재밋게 봤습니다. 초반부 긴장감이 매우 높고 그 긴장감이 끝까지 이어지지는 않지만 김고은 배우의 연기가 엄청 납니다. 물론 최민식 배우나 유해진 배우는 말할 필요가 없구요. 상당히 잘만든 영화임에는 확실합니다. 재밌습니다.,actor,1
166,"풍수사, 무당, 묫바람, 대살굿 등 매력적인 요소들이 많았기에 그만큼 더 아쉬움이 많이 남는 영화였다. 영화의 이미지와 캐릭터의 비주얼에 비해 매력을 살리지 못하여 평범했으며 배우들의 연기마저… 오컬트 영화의 아트적인 부분을 포기한 그저 그런 대중영화로 마무리. 그럼에도 재밌게 봤음. 호",actor,1
167,영화 보는내내 긴장감을 갖고 몰입하게 만드는 영화였어요.,story,1
168,처음에 너무 재밌었는데.. 뒤로 갈수록 뭔가 약해요,story,0
169,장재현 감독의 오컬트 세계와 민족의 한이 만나 엄청난 화력을 발휘하는 듯! 약간은 황당하면서도 긴장감 넘치고 흥미진진^^,story,1
170,나도 모르게 눈을 감고 있었다,story,1
171,"한국상업영화가 다시 기대되는, OTT로는 보기 아까운. 영화관에 가서, 요즘 표값주고 봐도 되는 영화.",story,1
172,가볍게 보기 좋은 영화 그렇게 무섭지도 그렇게 고어하지도 않지만 익숙한 배우들과 선을 오가는 연기에 천만관객이 납득이 됨,actor,1
173,잘봤어여 오늘 잠은 다 잤어요 ㅎㅎ,story,0
174,후반부로 갈수록 엉..?하면서 보게 됨,story,0
175,1000만 축하.. 배우들 연기. 스토리 ... 다아 볼만함. 한장르만 파는 감독님 리스펙,story,1
176,천만영화 ! 기대하고 보셔도 좋습니다,story,1
177,재밌었습니다! 천만영화 ㅊㅋㅊㅋ,story,1
178,재밋게 잘 봤습니다~!,story,1
179,2차 관람인데 이번에도 재밌게 봤어요,story,1
180,배우들의 연기는 말할것도 없이 너무 좋았구요. 무서운 영화 못보는데도 재미있게 봤어요~ 무서운 장면이 조금 있었구요. 사운드가 진짜 기가막혔어요.,directing,1
181,긴장 스릴 몰입감 최민식님 연기 정말 볼수록 매력에 빠져듭니다~둣부분은 약간 음~~~^^,actor,1
182,"재밌었어요 ,, 비누냄새 뭐냐 ,,",story,1
183,배우분들의 연기력이 뛰어나서 손에 땀이날정도로 영화 몰입이 너무 잘 되더라구요! 후반부분에는 정말 무서웠습니다ㅠㅠ,actor,1
184,1000만 달성 축하요~~~,story,1
185,실감나는 연기자들의 연기 스릴만점입니다,actor,1
186,"재밌게 잘봤습니다, 감사합니다~",story,1
187,너무 재밌어요 2기꼭 만들어주세요 오랜만에 심장이 쫄깃했네요ㅎ,story,1
188,생각보다 좀 무섭긴했는데 볼만하네요,story,1
189,인기가 있네요.대단해요,story,1
190,김고은 필모 중 최고 ㅠ 검은사제들보다 딱 1.5배 무서웠다 김고은이 이런 까칠하고 센 배역을 맡을 수도 있구나.. 여러모로 재밌게 봤다,story,1
191,천만관객 영화는 뭔가 달라도 다르네요..,story,0
192,뒤로 갈수록 떨어지는 몰입감... 이야기 구성이 탄탄하진 않다,story,0
193,너무 재밌게 잘봤어요~~^,story,1
194,배우들의 연기가 엄청나서 시간가는 줄 모르고 몰입됐어요!!,actor,1
195,졸라 재밌음. 갱장히 재밌음. 김고은짱.,story,1
196,짧지 않은 러닝타임에도 지루하게 느껴지진 않았음,story,0
197,스포도 하지않고 급 문화의날이라 저렴한가격에 친구와 관람 스릴넘치고 무섭고 숨이 몇번 넘어갔네요 ㅡㅡ 연기력좋고 간만에 과몰입으로 보았어요,actor,1
198,너무 잘 보았습니다!!,story,1
199,친구랑 같이 오랜만에 영화 본 것 같아요 공포영화쪽은 아닌거 같지만 재밌었어요,story,1
200,장릉ㅢ 한계를 뛰어넘는 스토리와 연출,directing,0
201,완전 스릴 넘치고 재밌었어요. 괜히 천만영화가 아니네요.,story,1
202,재밌는데 뒤로 갈수록 약간 지루해요…,story,0
203,배우 연기력과 연출력이 최고,directing,1
204,좋았어요 네번의 취소끝에 천만이후 만난 꿀같은 파묘.,story,1
205,천만까지 갈줄이야 !?!,story,1
206,계속 되는 시도👍🏽,story,1
207,영화 후에 해석을 보고난 후에야 200% 다가왔다. 배경지식이 있다면 더욱 몰입하기 좋은 영화.,story,1
208,긴장감 충만한상태로 끝까지 관람했네요. 다들 얘기하는거처럼 연기 끝장이네요,actor,1
209,아빠랑 같이 봤는데 무서워서 손 잡고 봤어요... 귀신? 얼굴이 계속 생각나서 밤에 화장실 가거나 물 마시려고 일어나서 거실 돌아다닐때 너무 무섭... 이거 보고 일주일 동안 무드등 키고 잤어요 -이상 지나가던 쫄보가-,story,0
210,파묘 천만관객영화 ㅊㅋ,story,0
211,연기가 후덜덜하네요..,actor,1
212,천만관객까지 갈 정도인가 모르겠네요,story,0
213,배우들의 연기에 압도된다!!,actor,1
214,쫄깃쫄깃 쵝오 아주잼나요,story,1
215,가끔씩 깜짝 놀라는 장면이 있긴 하지만 많이 무섭지는 않았어요. 몰입감도 높고 배우분들 연기에 눈이 고정ㅎㅎ,actor,1
216,배우들 연기가 좋아서 몰입감이 엄청나네요! 영화자체가 전체적으로 잘 만들어진 것 같아요^^ 김고은님 연기 너무 멋졌어용~~~추천합니다.,actor,1
217,오니 나오기 전까지 좋았다,story,0
218,처음엔 진짜 무섭다가 마지막엔 또 다르네요. 연기들이 너무 좋습니더,actor,1
219,좋은 소재로 영화를 이렇게 만들다니 초반 몰입감 100% 중반 몰입감 80% 후반 몰입감 0% 후반으로 갈수록 대참사 사무라이형님,story,0
220,영화분위기가 좋았습니다,directing,1
221,재밌어요 좋았어요 굿굿,story,1
222,애매… 저는 모든 영화를 웬만하면 다 재밌게 보기땜에 그럭저럭 볼만했지만..누군가에게 재밌다 라고 하기에 뭔가 부족,story,0
223,재밌게 잘 보고 왔습니다,story,1
224,1) 몰입감 있었고 2) 연기력 좋았고 3) 서사는 보통이었습니다!,story,1
225,순간순간 무섭기도 하고 배우들 연기에 감탄하게 되는 영화,actor,1
226,재밌음 재밌음 재밌음... 몰입감 최고...,story,1
227,한번 더 보게되는 영화 너무 재미있게 봤습니다,story,1
228,김고은의 연기는 매체를 통해 알고 갔는데도 놀랍더군요,actor,1
229,배우들의 연기가 좋았어요.,actor,1
230,깜짝깜짝 놀래키는 요소가 있었지만 재미있었어요~!,story,1
231,영화 보는 내내 흥미진진 재미있어요,story,1
232,잘봤습니다 세부적인 내용을 좀더 자세히 영화에 담았다면 더 잘봤을거같아요,story,1
233,연기력 어마어마합니다 꼭보시길~,actor,1
234,재밌게 잘 봤어요~ 순간순간 깜짝 놀랬네요,story,1
235,문화의날로 4차했어요,story,1
236,"고은님의 신들린 연기, 펭화림이 생각나네요",actor,1
237,너무재미있어요~~배우들연기짱,actor,1
238,기대이상이었습니다. 생각보다 더 재밌었어요,story,1
239,와 드럽게 재밌고 한 번도 정주행 각이다,story,1
240,"완전 굿굿굿!?.,()♡-/;:@*_%~^#",story,1
241,재밌었어요 적당히 무서우면서 굳,story,1
242,천 만 관객 축하합니다 승승장구하시길 재밌게 잘봤습니다,story,1
243,장재현이 장재현했다. 최민식이 최민식했다. 유해진이 유해진했다. 김고은이 김고은했다. 이도현이 이도현했다. 천만이다.,story,1
244,1000만 영화라서 오랜만에 영화관에 왔는데 꼭 나오실 필요는 없어요. 추천은 안할듯,story,1
245,김고은씨 연기 정말 최고네요....,actor,1
246,파묘 최민식 김고은 파묘 파묘,story,0
247,몰입감 있게 너무 잘봤어요~,story,1
248,후반 별로라는 평도 있어서 볼까말까하다 봤는데 감독이 추구하는 것이 원래 현실적인 것 같음 사바하가 더 흥행하는 게 더 맞지 않나 싶은데 니즈라는 것이 있으니까 여러 동남아 국가들 반응이 있다는 것이 그런 것 같아 흥행할 말한 것 같고 아직풀 얘기도많을 것 같아서언제라도 후속작 나왔음 싶,story,1
249,오오 심장떨려 무서워서 귀막고 눈감았더니 제대로 못봤어요. N차관람하러 가야겠음다,story,0
250,최고다 최고.. 배우들은 하나같이 연기력 미쳤고 배경 bgm모든게 찰떡이였다 스토리도 볼수록 재미있었고 이건 별로다 라고 할만한게 없다,story,1
251,세 번 봐도 존잼... 또 보러 올게요...,story,1
252,배우들 연기가 훌륭합니다,actor,1
253,도깨비때 김고은은 너무사랑스러워서 좋았고 파묘의 김고은은 찐도깨비를 잡는모습에 반했습니다,story,1
254,재밌었어요! 무당이라는 레어한 장르인데도 불구하고 재밌게 봤어요 부모님도 괜찮으셨다고 하네요~,story,1
255,신선한 주제와 믿고 보는 배우들의 조화,actor,1
256,와 재밌어 계속 생각나고 여운있는 영화!!! 배우분들 연기 미쳤구요ㅠㅠㅠㅠ 진짜 간만에 영화 야무지게 잘봤어요!!,actor,1
257,국산 오컬트의 한획을 긋다,story,0
258,뒤로 갈수록 아쉽긴했지만 이정도면 나쁘지않음,story,1
259,파묘 생각만큼은 아니지만 나쁘지않았어요.,story,1
260,영화가 실감이 굉장해요.,story,1
261,역시 천만인 이유가 있네요 잼있게 잘봤네요,story,1
262,공포도는 낮아서 공포물못보는 사람도 볼 수 있을거 같아요,story,1
263,천만 영화 축하드립니다!,story,1
264,초반부에 지루하고 살짝 졸린다 했는데 그때쯤 부터 흥미와 재미가 더해 긴장하게 만들었다. 연기자들의 연기 또한 영화속 그 사람이 되어 연기를 너무 잘 하네!! 하면서 영화가 끝나는 내내 숨막히게 봤네요.,actor,1
265,연기력 갑 배우들이 모인 영화인데 말해 뭐하겠어요. 재밌게 잘봤습니다~,actor,1
266,재밌어요 영화 끝나고 해석 찾아보면 더 재밌음 ㅜㅜ,story,1
267,후반부가 조금 아쉬웠으나 전체적으로 몰입해서 본 오컬트 영화 천만돌파 축하!,story,1
268,장재현 감독은 분위기와 캐릭터를 정말 잘 만든다.,actor,1
269,좋은영화 깊이가 있어 좋기는 한데 하고싶은 말이 참 많은 영화네요. 아쉬울을 연기로 덮는 영화네요,actor,1
270,중반부까진 괜찮은데 나중에 좀 억지설정임,story,0
271,믿고 보는 영화 몰입도 쩝니다,story,0
272,가족들이랑 여자 친구랑 다 같이 보러 갔는데 여자 친구만 무서워서 손 가리고 보던데 귀여웠어요 저는 별로 안 무서웠고 몰입감이 좋아 재미있게 잘 봤습니다,story,1
273,후반부는 아쉽지만 그래도 재밌습니다,story,1
274,영화 소재도 나름 괜찮고 무엇보다도 배우들의 연기와 감독의 연출력이 돋보이는 퀄러티 영화. 지루할 틈이 없는 스토리 전개와 막힘 없는 연기력이 압권,actor,1
275,몰입감 있게 잘 봤습니다 배우들 연기도 한몫했네요,actor,1
276,재미있어요 연기도 멋져요 꼭 보세요~~^^,actor,1
277,몰입감 있고 재밌습니다,story,1
278,어머니께서 보고 싶으시다하셔서 어머님표랑 어머님 친구 표까지 구매했습니다 (저는 안 봄) 어머니가 너무 재밌다고 좋아하셨어요,story,1
279,영화의 최종보스가 키 큰게 고증오류라는 생각이 들어서 몰입이 잘 안됐지만 그래도 재밌게 봤습니다,story,1
280,"일본귀신은 이유없이 근처에만 가도 죽인다... 친일파,쇠말뚝,도깨비불,은어,여우와 간... 역사적 사실이 숨은 내용...좋았다...",story,1
281,영화가 넘 스릴있고 좋았어요...,story,1
282,몰입감이 좋았습니다 재밌았아요,story,1
283,재미있어요 연기도 멋져요 꼭 보세요,actor,1
284,험한 것이 나왔다. 여우가 범의 허리를 끊었다. 역사의 한을 그대로 느낄 수 있는 영화. 다시 또 보고싶다.,story,1
285,딮아ㅏ뉴뮤조ㅑ츞바차ㅛㅓㅎㄹ,story,1
286,연기력도 모두 좋았고 일본에 대해 생각해 보는 아주 훌륭한 영화입니다.,actor,1
